,Name,Date,Time,Theatre,Cluster
62,Фальшива нота ,2023-12-16,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
63,Три анекдоти на одну тему,2023-12-16,17:00:00,Театр на Михайлівській,Післяобідня
64,«Дірявий експрес»,2023-12-16,17:00:00,Арт-студія «Темний Софіт»,Післяобідня
65,«Покоління пепсі» ,2023-12-16,17:00:00,Київський академічний театр на Печерську,Післяобідня
66,"«Будьте здорові, мосьє!»",2023-12-16,18:00:00,Будинок Офіцерів,Вечірня
67,Чорний Квадрат. Суперстар,2023-12-16,18:00:00,КУЛЬТ театр,Вечірня
68,Вистава «Маклена Ґраса». ,2023-12-16,18:00:00,Театр Між Трьох Колон,Вечірня
69,Тест ,2023-12-16,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
70,«Як Баба стала Ягою»,2023-12-16,18:00:00,Дім Актора,Вечірня
71,Батько.,2023-12-16,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
72, «Маклена Ґраса»,2023-12-16,18:00:00,Театр «Між Трьох Колон»,Вечірня
73,«STRIP-TEASE 2»,2023-12-16,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
74,«Як виростити чоловіка в домашніх умовах»,2023-12-16,18:00:00,Будинок кіно,Вечірня
75, «На трьох одне серце і душа» ,2023-12-16,19:00:00,Київський драматичний театр Браво,Вечірня
76,«Секспрес»,2023-12-16,19:00:00,Арт-студія «Темний Софіт»,Вечірня
77,Білосніжка та семеро Гномів ,2023-12-17,12:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Денна
78,Екскурсія за лаштунки театру «Колесо» та вистава Петра Миронова «Маестро Азнавур»,2023-12-17,13:00:00,"Київський академічний театр ""Колесо""",Денна
79,Емігранти ,2023-12-17,14:00:00,Київський академічний драматичний театр на Подолі,Денна
80,Дзвінок із минулого,2023-12-17,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
81,Рентген усміхнених сердець,2023-12-17,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
82,Сон літньої ночі ,2023-12-17,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
83,"Скажені гроші, шалена любов та гарячі бублики",2023-12-17,17:00:00,"МЦКМ ""Жовтневий палац""",Післяобідня
84,Графиня Маріца ,2023-12-17,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
85,Джульєтта і Ромео,2023-12-17,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
86,Комедія Миколи Куліша «Мина Мазайло»,2023-12-17,17:00:00,Велика зала театру-студії «Біла Ворона»,Післяобідня
87,«На всю країну» ,2023-12-17,18:00:00,КУЛЬТ театр,Вечірня
88,Чорний Квадрат. «Про Це та ніжність на додачу»,2023-12-17,18:00:00,Культурний центр «Арт-Братислава»,Вечірня
89,Слава Героям ,2023-12-17,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
90,Ото була весна ,2023-12-17,18:00:00,Театр на Михайлівській,Вечірня
91,Сімейний альбом / Album di Famiglia.,2023-12-17,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
92,Вистава «Лазанья по-французьки». ,2023-12-17,18:00:00,Будинок Архітектора,Вечірня
93,Ультіма Туле ,2023-12-17,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
94,Приємна несподіванка,2023-12-17,18:00:00,Театр «Актор»,Вечірня
95,Весілля в Авлабарі ,2023-12-17,18:00:00,Київський академічний театр українського фольклору «Берегиня»,Вечірня
96,I love на валізах ,2023-12-17,19:00:00,Київський драматичний театр Браво,Вечірня
97,«Тисячолітня незаймана»,2023-12-17,19:00:00,Нічний клуб «Heaven»,Вечірня
98,Мюзикл Fame Jr.,2023-12-18,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
99,Зроби мені тишу ,2023-12-18,19:00:00,Театр Драматургів,Вечірня
100,Передчуття Мини Мазайла ,2023-12-19,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
101,Жіноча логіка. ,2023-12-19,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
102,Віддайте тіло. ,2023-12-19,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
103,Стусанина,2023-12-19,18:00:00,Театр Золоті Ворота,Вечірня
104,Майстер ,2023-12-19,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
